time,operating_hours,fuel_consumption(liter),engine_id
2018-01-29,8544,4124.3,7133245688
2018-01-30,8562,4124.3,7133245688
2018-01-31,8575,4124.3,7133245688
2018-02-01,8589,4124.3,7133245688
2018-02-02,8604,4124.3,7133245688
2018-02-03,8616,4124.3,7133245688
2018-02-04,8631,4124.3,7133245688
2018-02-05,8653,4124.3,7133245688
2018-02-06,8677,4124.3,7133245688
2018-02-07,8701,4124.3,7133245688
2018-02-08,8709,4124.3,7133245688
2018-02-09,8709,4124.3,7133245688
2018-02-10,8709,4124.3,7133245688
2018-02-11,8728,4124.3,7133245688
2018-02-12,8752,4124.3,7133245688
2018-02-13,8775,4124.3,7133245688
2018-02-14,8795,4124.3,7133245688
2018-02-15,8800,4124.3,7133245688
2018-02-16,8821,4124.3,7133245688
2018-02-17,8837,4124.3,7133245688
2018-02-18,8853,4124.3,7133245688
2018-02-19,8872,4124.3,7133245688
2018-02-20,8885,4124.3,7133245688
2018-02-21,8901,4124.3,7133245688
2018-02-22,8924,4124.3,7133245688
2018-02-23,8947,4124.3,7133245688
2018-02-24,8961,4124.3,7133245688
2018-02-25,8985,4124.3,7133245688
2018-02-26,9009,4124.3,7133245688
2018-02-27,9032,4124.3,7133245688
2018-02-28,9052,4124.3,7133245688
2018-03-01,9076,4124.3,7133245688
2018-03-02,9098,4124.3,7133245688
2018-03-03,9120,4124.3,7133245688
2018-03-04,9120,4124.3,7133245688
2018-03-05,9120,4124.3,7133245688
2018-03-06,9120,4124.3,7133245688
2018-03-07,9120,4124.3,7133245688
2018-03-08,9120,4124.3,7133245688
2018-03-09,9122,4124.3,7133245688
2018-03-10,9122,4124.3,7133245688
2018-03-11,9135,4124.3,7133245688
2018-03-12,9149,4124.3,7133245688
2018-03-13,9157,4124.3,7133245688
2018-03-14,9157,4124.3,7133245688
2018-03-15,9157,4124.3,7133245688
2018-03-16,9162,4124.3,7133245688
2018-03-17,9162,4124.3,7133245688
2018-03-18,9164,4124.3,7133245688
2018-03-19,9170,4124.3,7133245688
2018-03-20,9170,4124.3,7133245688
2018-03-21,9170,4124.3,7133245688
2018-03-22,9189,4124.3,7133245688
2018-03-23,9205,4124.3,7133245688
2018-03-24,9226,4124.3,7133245688
2018-03-25,9247,4124.3,7133245688
2018-03-26,9247,4124.3,7133245688
2018-03-27,9247,4124.3,7133245688
2018-03-28,9268,4124.3,7133245688
2018-03-29,9292,4124.3,7133245688
2017-12-20,10883,3891.2,3643747759
2017-12-21,10894,3891.2,3643747759
2017-12-22,10916,3891.2,3643747759
2017-12-23,10937,3891.2,3643747759
2017-12-24,10940,3865.6,3643747759
2017-12-25,10940,3865.6,3643747759
2017-12-26,10940,3865.6,3643747759
2017-12-27,10944,3891.2,3643747759
2017-12-28,10944,3788.8,3643747759
2017-12-29,10945,3865.6,3643747759
2017-12-30,10945,3865.6,3643747759
2017-12-31,10945,3865.6,3643747759
2018-01-01,10945,3865.6,3643747759
2018-01-02,10945,3865.6,3643747759
2018-01-03,10957,3891.2,3643747759
2018-01-04,10977,3865.6,3643747759
2018-01-05,10991,3891.2,3643747759
2018-01-06,11013,3891.2,3643747759
2018-01-07,11022,3840,3643747759
2018-01-08,11039,3891.2,3643747759
2018-01-09,11062,3865.6,3643747759
2018-01-10,11082,3865.6,3643747759
2018-01-11,11105,3891.2,3643747759
2018-01-12,11127,3891.2,3643747759
2018-01-13,11148,3891.2,3643747759
2018-01-14,11151,3891.2,3643747759
2018-01-15,11163,3891.2,3643747759
2018-01-16,11185,3891.2,3643747759
2018-01-17,11207,3891.2,3643747759
2018-01-18,11228,3891.2,3643747759
2018-01-19,11250,3891.2,3643747759
2018-01-20,11264,3891.2,3643747759
2018-01-21,11285,3891.2,3643747759
2018-01-22,11306,3891.2,3643747759
2018-01-23,11325,3891.2,3643747759
2018-01-24,11346,3891.2,3643747759
2018-01-25,11367,3891.2,3643747759
2018-01-26,11388,3916.8,3643747759
2018-01-27,11408,3891.2,3643747759
2018-01-28,11408,3891.2,3643747759
2018-01-29,11430,3891.2,3643747759
2018-01-30,11451,3891.2,3643747759
2018-01-31,11470,3891.2,3643747759
2018-02-01,11490,3916.8,3643747759
2018-02-02,11512,3865.6,3643747759
2018-02-03,11525,3865.6,3643747759
2018-02-04,11546,3891.2,3643747759
2018-02-05,11566,3865.6,3643747759
2018-02-06,11588,3916.8,3643747759
2018-02-07,11609,3865.6,3643747759
2018-02-08,11629,3891.2,3643747759
2018-02-09,11650,3891.2,3643747759
2018-02-10,11668,3891.2,3643747759
2018-02-11,11668,3891.2,3643747759
2018-02-12,11687,3891.2,3643747759
2018-02-13,11687,3891.2,3643747759
2018-02-14,11687,3891.2,3643747759
2018-02-15,11687,3891.2,3643747759
2018-02-16,11687,3891.2,3643747759
2018-02-17,11687,3891.2,3643747759
2018-02-18,11687,3891.2,3643747759
2018-02-19,11687,3891.2,3643747759
2018-02-20,11687,3891.2,3643747759
2018-02-21,11687,3891.2,3643747759
2018-02-22,11687,3891.2,3643747759
2018-02-23,11687,3891.2,3643747759
2018-02-24,11687,3891.2,3643747759
2018-02-25,11687,3891.2,3643747759
2018-02-26,11687,3891.2,3643747759
2018-02-27,11687,3891.2,3643747759
2018-02-28,11687,3891.2,3643747759
2018-03-01,11687,3891.2,3643747759
2018-03-02,11687,3891.2,3643747759
2018-03-03,11687,3891.2,3643747759
2018-03-04,11687,3891.2,3643747759
2018-03-05,11687,3891.2,3643747759
2018-03-06,11687,3891.2,3643747759
2018-03-07,11687,3891.2,3643747759
2018-03-08,11687,3891.2,3643747759
2018-03-09,11687,3891.2,3643747759
2018-03-10,11687,3891.2,3643747759
2018-03-11,11687,3891.2,3643747759
2018-03-12,11687,3891.2,3643747759
2018-03-13,11687,3891.2,3643747759
2018-03-14,11687,3891.2,3643747759
2018-03-15,11687,3891.2,3643747759
2018-03-16,11687,3891.2,3643747759
2018-03-17,11687,3891.2,3643747759
2018-03-18,11687,3891.2,3643747759
2018-03-19,11687,3891.2,3643747759
2018-03-20,11687,3891.2,3643747759
2018-03-21,11687,3891.2,3643747759
2018-03-22,11687,3891.2,3643747759
2018-03-23,11687,3891.2,3643747759
2018-03-24,11687,3891.2,3643747759
2018-03-25,11687,3891.2,3643747759
2018-03-26,11687,3891.2,3643747759
2018-03-27,11687,3891.2,3643747759
2018-03-28,11687,3891.2,3643747759
2018-03-29,11687,3891.2,3643747759
2017-12-19,3760,1135.5,3308150982
2017-12-20,3772,1241.5,3308150982
2017-12-21,3782,1332.5,3308150982
2017-12-22,3793,1434.5,3308150982
2017-12-23,3795,1452.5,3308150982
2017-12-24,3795,1452.5,3308150982
2017-12-25,3798,1476.5,3308150982
2017-12-26,3807,1557,3308150982
2017-12-27,3818,1650.5,3308150982
2017-12-28,3829,1757,3308150982
2017-12-29,3837,1826,3308150982
2017-12-30,3841,1860,3308150982
2017-12-31,3844,1884,3308150982
2018-01-01,3853,1975,3308150982
2018-01-02,3862,2064.5,3308150982
2018-01-03,3872,2136.5,3308150982
2018-01-04,3882,2234.5,3308150982
2018-01-05,3887,2285,3308150982
2018-01-06,3887,2285,3308150982
2018-01-07,3893,2327.5,3308150982
2018-01-08,3904,2420,3308150982
2018-01-09,3914,2515,3308150982
2018-01-10,3926,2604,3308150982
2018-01-11,3936,2701.5,3308150982
2018-01-12,3945,2768,3308150982
2018-01-13,3946,2778,3308150982
2018-01-14,3950,2800.5,3308150982
2018-01-15,3957,2863.5,3308150982
2018-01-16,3968,2961.5,3308150982
2018-01-17,3968,2961.5,3308150982
2018-01-18,3968,2961.5,3308150982
2018-01-19,3968,2961.5,3308150982
2018-01-20,3968,2961.5,3308150982
2018-01-21,3968,2961.5,3308150982
2018-01-22,3968,2961.5,3308150982
2018-01-23,3968,2961.5,3308150982
2018-01-24,3968,2961.5,3308150982
2018-01-25,3968,2961.5,3308150982
2018-01-26,3968,2961.5,3308150982
2018-01-27,3968,2961.5,3308150982
2018-01-28,3968,2961.5,3308150982
2018-01-29,3968,2961.5,3308150982
2018-01-30,3968,2961.5,3308150982
2018-01-31,3968,2961.5,3308150982
2018-02-01,3968,2961.5,3308150982
2018-02-02,3968,2961.5,3308150982
2018-02-03,3968,2961.5,3308150982
2018-02-04,3968,2961.5,3308150982
2018-02-05,3968,2961.5,3308150982
2018-02-06,3968,2961.5,3308150982
2018-02-07,3968,2961.5,3308150982
2018-02-08,3968,2961.5,3308150982
2018-02-09,3968,2961.5,3308150982
2018-02-10,3968,2961.5,3308150982
2018-02-11,3968,2961.5,3308150982
2018-02-12,3968,2961.5,3308150982
2018-02-13,3968,2961.5,3308150982
2018-02-14,3968,2961.5,3308150982
2018-02-15,3968,2961.5,3308150982
2018-02-16,3968,2961.5,3308150982
2018-02-17,3968,2961.5,3308150982
2018-02-18,3968,2961.5,3308150982
2018-02-19,3968,2961.5,3308150982
2018-02-20,3968,2961.5,3308150982
2018-02-21,3968,2961.5,3308150982
2018-02-22,3968,2961.5,3308150982
2018-02-23,3968,2961.5,3308150982
2018-02-24,3968,2961.5,3308150982
2018-02-25,3968,2961.5,3308150982
2018-02-26,3968,2961.5,3308150982
2018-02-27,3968,2961.5,3308150982
2018-02-28,3968,2961.5,3308150982
2018-03-01,3968,2961.5,3308150982
2018-03-02,3968,2961.5,3308150982
2018-03-03,3968,2961.5,3308150982
2018-03-04,3968,2961.5,3308150982
2018-03-05,3968,2961.5,3308150982
2018-03-06,3968,2961.5,3308150982
2018-03-07,3968,2961.5,3308150982
2018-03-08,3968,2961.5,3308150982
2018-03-09,3968,2961.5,3308150982
2018-03-10,3968,2961.5,3308150982
2018-03-11,3968,2961.5,3308150982
2018-03-12,3968,2961.5,3308150982
2018-03-13,3968,2961.5,3308150982
2018-03-14,3968,2961.5,3308150982
2018-03-15,3968,2961.5,3308150982
2018-03-16,3968,2961.5,3308150982
